Sex,life_stage,metal,geo_mean,lower,upper
Male,Child,lbxbpb,0.6650069,0.597974043,0.739554081
Female,Child,lbxbpb,0.6175891,0.565777389,0.674145433
Male,Adolescent,lbxbpb,0.5509106,0.523011972,0.580297442
Female,Adolescent,lbxbpb,0.3999337,0.368756723,0.433746568
Male,Adult,lbxbpb,0.9805997,0.915237548,1.05062963
Female,Adult,lbxbpb,0.735925,0.679068778,0.797541717
Male,Elderly,lbxbpb,1.594641,1.458257346,1.743780184
Female,Elderly,lbxbpb,1.291329,1.19694159,1.393159755
Male,Child,lbxbcd,0.09182124,0.088237406,0.095550641
Female,Child,lbxbcd,0.09416418,0.089989247,0.098532809
Male,Adolescent,lbxbcd,0.1334464,0.122305884,0.14560167
Female,Adolescent,lbxbcd,0.1469004,0.13280283,0.162494542
Male,Adult,lbxbcd,0.25423,0.233794178,0.276452112
Female,Adult,lbxbcd,0.3193174,0.299761907,0.340148621
Male,Elderly,lbxbcd,0.3415403,0.300731746,0.38788655
Female,Elderly,lbxbcd,0.3744344,0.345402514,0.40590645
Male,Child,lbxthg,0.33218378,0.31011204,0.35582645
Female,Child,lbxthg,0.33093447,0.30358259,0.36075068
Male,Adolescent,lbxthg,0.41669835,0.36454092,0.47631831
Female,Adolescent,lbxthg,0.37604081,0.34024367,0.41560419
Male,Adult,lbxthg,0.82178786,0.75644347,0.89277693
Female,Adult,lbxthg,0.82530761,0.74849139,0.91000733
Male,Elderly,lbxthg,0.85154068,0.7212144,1.00541744
Female,Elderly,lbxthg,0.79851925,0.67696553,0.94189877
Male,Child,lbxbmn,10.21496,9.863498588,10.57893826
Female,Child,lbxbmn,10.9367,10.56819987,11.31804687
Male,Adolescent,lbxbmn,9.72716,9.441269084,10.02170852
Female,Adolescent,lbxbmn,11.08579,10.41378486,11.80115731
Male,Adult,lbxbmn,8.740881,8.439508396,9.053015802
Female,Adult,lbxbmn,10.26735,10.05813291,10.48091986
Male,Elderly,lbxbmn,8.45966,7.970771208,8.978535173
Female,Elderly,lbxbmn,8.928898,8.45211184,9.432580131
Male,Child,lbxbgm,0.16193072,0.146393654,0.179116763
Female,Child,lbxbgm,0.16018232,0.143110625,0.179290506
Male,Adolescent,lbxbgm,0.22934054,0.19179904,0.274230173
Female,Adolescent,lbxbgm,0.19874303,0.170051442,0.232275547
Male,Adult,lbxbgm,0.54605417,0.487320429,0.611866723
Female,Adult,lbxbgm,0.49857039,0.426243388,0.583170176
Male,Elderly,lbxbgm,0.59497999,0.478311877,0.740105375
Female,Elderly,lbxbgm,0.52157307,0.418541206,0.649968183